Police District,Counts,Type
1,2054,PATROL
6,1511,PATROL
7,786,PATROL
4,657,PATROL
5,612,PATROL
3,397,PATROL
2,334,PATROL
5,752,BATTERY
6,660,BATTERY
2,570,BATTERY
3,548,BATTERY
1,517,BATTERY
4,262,BATTERY
7,248,BATTERY
6,302,SHOTS FIRED
2,273,SHOTS FIRED
3,257,SHOTS FIRED
1,211,SHOTS FIRED
5,188,SHOTS FIRED
7,77,SHOTS FIRED
4,17,SHOTS FIRED
6,837,WELFARE CITIZEN
1,687,WELFARE CITIZEN
5,676,WELFARE CITIZEN
2,627,WELFARE CITIZEN
3,617,WELFARE CITIZEN
4,594,WELFARE CITIZEN
7,555,WELFARE CITIZEN
6,657,THEFT
7,648,THEFT
3,546,THEFT
4,472,THEFT
1,453,THEFT
5,398,THEFT
2,387,THEFT
5,461,CALL FOR POLICE
3,434,CALL FOR POLICE
6,413,CALL FOR POLICE
1,378,CALL FOR POLICE
2,366,CALL FOR POLICE
7,119,CALL FOR POLICE
4,118,CALL FOR POLICE
6,455,ENTRY
2,399,ENTRY
3,398,ENTRY
5,392,ENTRY
1,350,ENTRY
7,169,ENTRY
4,148,ENTRY
2,97,FIRE
5,88,FIRE
1,86,FIRE
6,77,FIRE
3,76,FIRE
4,33,FIRE
7,31,FIRE
