,0
0,ACC PDO
1,PROPERTY PICKUP
2,RETURN STATION
3,ENTRY
4,OUT OF SERVICE
5,FIRE
6,TRAFFIC STOP
7,TRBL W/SUBJ
8,CALL FOR POLICE
9,ENTRY AUTOS
10,BATTERY
11,SHOTS FIRED
12,SPECIAL ASSIGN
13,FOLLOW UP
14,WELFARE CITIZEN
15,SUBJ WANTED
16,BUSINESS CHECK
17,TRBL W/SUBJ-DV
18,INVESTIGATION
19,ACC PI
20,POLICE ADMIN
21,ACC UNKN INJ
22,NOISE NUISANCE
23,VACANT HOUSE CHK
24,RECOVERED VEH
25,ABAND/STOLEN PRO
26,INJ PERSON/SICK
27,PROPERTY DAMAGE
28,BATTERY DV
29,THEFT
30,COURT DUTY
31,TS TARGETED
32,WIRES DOWN
33,PROPERTY DAM-DV
34,ADDL INFO
35,MED RUN
36,TRAFFIC CONTROL
37,TRBL W/JUV
38,LANDLORD/TEN TRB
39,LOCKOUT
40,LOOSE ANIMAL
41,FIGHT
42,RECK USE OF WEAP
43,PARK AND WALK
44,SCHL MONITORING
45,PROBATION/PAROLE
46,BUS INVESTIGATIO
47,ROBBERY ARMED
48,VEHICLE MAINT
49,RECKLESS VEHICLE
50,FAMILY TROUBL-DV
51,SUSP PERS/AUTO
52,ASSIGNMENT
53,DRUG DEALING
54,SUBJ WITH WEAPON
55,TRAFFIC HAZARD
56,SOLICITING
57,CITIZEN CONTACT
58,REPORTS
59,STOLEN VEHICLE
60,SUBJ WITH GUN
61,NETWORK CRIMINAL
62,HOME VISIT DV
63,HOSPITAL TO MCMH
64,NOTIFICATION
65,CRUELTY ANIMAL
66,ABAND/PROP WEAPO
67,NON PURSUIT NO P
68,LOST CHILD
69,SUBJ STOP
70,VIOL REST ORDER
71,DEAD ON ENTRY
72,HOLDUP ALARM
73,SCHL PRESENTATIO
74,COMMUNITY MTNG
75,ROBBERY ST ARM
76,FAMILY TROUBLE
77,CONVEY PROPERTY
78,PRISONER TRANS
79,SHOTSPOTTER
80,SHOPLIFTER
81,ANIMAL BITE
82,MEET GOVT AGENCY
83,PATROL
84,VIOL REST ORD-DV
85,FRAUD
86,CITIZEN CONVEY
87,BOAT STOP
88,SHOOTING
89,THREAT
90,VEHICLE PURSUIT
91,TAVERN CHECK
92,THEFT VEHICLE
93,ABDUCTION
94,GAMBLING
95,DUI
96,NON PURSUIT
97,ENTRY-DV
98,TRAFFIC LASER
99,IND EXPOSURE
100,ALTERED CURRENCY
101,CHILD CUSTODY
102,SUSPICIOUS-OTH
103,THEFT FROM PERSN
104,JUV CONVEY
105,MEET MFD
106,SUBJ W/WEAPON-DV
107,LOITERING
108,BURG/AUD BUSINES
109,MAIL RUN
110,ASSIST OFFICER
111,SEARCH WARRANT
112,ESCORT
113,TRUANT
114,BURGLAR ALARM
115,SEND SQUAD/MEET
116,PARKING TROUBLE
117,REPORT TO 10-22
118,PAB
119,PHONE CALL COMPL
120,CST ASSIGNMENT
121,GAS LEAK
122,CHILD ENTICEMENT
123,SHOTS FIRED-DV
124,PHOTO ASSIGN
125,FIREWORKS
126,BATTERY CUTTING
127,HOSPITAL GUARD
128,SCHOOL
129,PROB_PAROL_CK_RQ
130,FOOT PURSUIT
131,LOUD MUSIC - RES
132,DEMONSTRATION
133,ROBBERY STARM-DV
134,911 ABUSE CONFIR
135,SUBJ WITH GUN-DV
136,CALL BY PHONE
137,RECK USE OF W-DV
138,GRAFFITI
139,RECOVERED PROP
140,FRAUD CRED CARD
141,TRESPASSER
142,SUBJ DOWN
143,SEARCH RESCUE/RE
144,MPD MON ALARM
145,HOSTAGE SIT
146,PLANT CAR
147,CAR CHANGE
148,MFD SECURITY
149,BATTERY CUT-DV
150,SUSP PKG/DEVICE
151,ESP TARGET ESCOR
152,ALARM ON BUS
153,PD/OTHER IN MKE
154,BURG/AUD RESI
155,DOCUMENTED CALL
156,VEHICLE ALARM
157,POLICE ACADEMY
158,SCHL PERIMETER
159,FLOODING
160,SUBJ IN WATER
161,FLEEING
162,EXPLOSION
163,ASSIST
164,PICKUP PARTNER
165,ACC PI HWY
166,WATER MAIN BREAK
167,LOUD MUSIC - VEH
168,BOMB THREAT
169,EXPLOSIVES
170,1359
171,911 ABUSE
172,1301
173,PRISONER BOOKING
174,GAME PLAN
175,PROWLERS
176,BURG/AUD GOVT
177,UNDEFINED
178,SEX ASSAULT-DV
179,HAZ WASTE MAT
180,ACC PD1
181,TAVERN VIOLATION
182,HOSTAGE SIT-DV
183,LOST/STOLEN PRO
184,ACC PDO HWY
185,FORGERY
186,ROBBERY ARMED-DV
187,ABDUCTION-DV
188,CONT DEL MINOR
189,ACC UNK INJ HWY
190,SEND BACKUP
191,ABAND/LOST
192,ASSIST FIRE/AMB
193,THREAT TO SCHOOL
194,2831 N 21ST
195,RECKLESS VEH-DV
196,THREAT OFFICER
197,LOUD MUSIC - OTH
198,LOST PROP
199,OPEN HYDRANT
200,SCHOOL CROSSING
201,METH LAB
202,ELDER ABUSE
203,BB GUN COMPLNT
204,STREET CAR CHECK
205,.
206,OVERTURNED BOAT
207,SCHL SAFETY MTG
208,PARENT QUESTION
209,911 TEST CALL
210,OFFICER SHOT
211,LICENSE QUESTION
